k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
212023280,12.085,0.018,11.425,0.021,11.22,0.013,14.824,5.523,0.022,1.8495493,1.0115954,0.30509728,0.0,0.61,0.0024,3979.0,76.0
211977843,13.479,0.017,12.838,0.022,12.573,0.022,17.526,5.298,0.07,2.64042,1.1646526,3.538143,1.7324151,0.4049,0.0058,3376.0,42.0
211988997,12.841,0.018,12.272,0.021,11.974,0.023,17.141,5.28,0.051,2.7203836,1.2151186,5.7750764,3.9536915,0.5047,0.0051,3292.0,42.0
211980039,13.273,0.021,12.612,0.023,12.394,0.026,17.202,5.384,0.049,2.5644674,0.9698848,-0.70647687,0.0,0.4283,0.0054,3417.0,43.0
211939462,12.841,0.022,12.159,0.021,11.949,0.017,16.364,5.531,0.045,2.4397955,1.0932552,1.9928708,0.2969313,0.4921,0.0041,3571.0,43.0
211935558,13.323,0.019,12.594,0.019,12.397,0.02,17.514,5.525,0.056,2.7394457,1.040911,0.9881495,0.0,0.4186,0.0048,3327.0,42.0
211946750,12.756,0.022,12.147,0.024,11.907,0.017,17.001,5.429,0.047,2.7242537,1.0378909,0.8910988,0.0,0.5058,0.0042,3309.0,43.0
211925552,10.666,0.021,10.252,0.029,10.202,0.016,12.149,5.382,0.015,1.0697498,0.9295089,-1.6784807,5.669393,0.9805,0.0054,5146.0,79.0
211925552,10.666,0.021,10.252,0.029,10.202,0.016,12.149,5.382,0.015,1.0697498,0.9295089,-1.6784807,5.669393,0.9805,0.0054,5146.0,79.0
211975510,11.67,0.02,11.063,0.019,10.931,0.017,13.764,5.446,0.019,1.5581284,1.0304598,0.73919326,0.0,0.6583,0.0028,4500.0,77.0
211975510,11.67,0.02,11.063,0.019,10.931,0.017,13.764,5.446,0.019,1.5581284,1.0304598,0.73919326,0.0,0.6583,0.0028,4500.0,77.0
212011557,12.936,0.023,12.264,0.03,12.023,0.017,16.255,5.483,0.038,2.3484755,1.0130879,0.33267227,2.4416339e-15,0.483,0.0038,3659.0,43.0
212011557,12.936,0.023,12.264,0.03,12.023,0.017,16.255,5.483,0.038,2.3484755,1.0130879,0.33267227,2.4416339e-15,0.483,0.0038,3659.0,43.0
211948030,13.748,0.021,13.09,0.021,12.853,0.028,17.988,5.564,0.071,2.7409992,0.97838736,-0.55296177,0.0,0.3447,0.0059,3311.0,43.0
211948030,13.748,0.021,13.09,0.021,12.853,0.028,17.988,5.564,0.071,2.7409992,0.97838736,-0.55296177,0.0,0.3447,0.0059,3311.0,43.0
211932810,12.345,0.018,11.68,0.019,11.506,0.018,15.224,5.375,0.034,1.9978609,1.0232649,0.50748837,0.0,0.5745,0.0036,3888.0,76.0
