k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
211037018 0.0161 0.00129 0.00291 0.00198 0.0184 0.0038 0.0168 0.00603 0.0109 0.00415 0.0083 0.0218 0.0124 0.00698 0.00688 0.0189 0.000332 0.00686 4.42 4.39 2457098.34 2459486.07
211101761 0.00579 0.00277 0.000432 0.0015 0.0111 0.00541 0.00253 0.00279 0.013 0.00202 0.00166 0.00172 0.0133 0.00201 0.0012 0.00127 3.84e-05 0.00108 0.837 0.845 2457098.33 2459486.07
211095218 0.00899 0.0024 5.12e-18 0.00495 0.0237 0.0107 1.63e-17 0.0105 0.00725 0.00432 0.00901 0.0243 0.00639 0.00262 0.00828 0.024 0.000453 0.00797 0.347 0.346 2457098.34 2459486.07
210754915 0.016 0.00621 4.88e-18 0.00367 0.02 0.00629 5.05e-18 0.00128 0.0086 0.00523 0.0016 0.00188 0.00975 0.00551 0.00103 0.00186 4.01e-05 0.00115 0.533 0.534 2457098.34 2459486.07
211038810 0.0175 0.00419 0.00178 0.00491 0.0254 0.00558 0.00396 0.00651 0.0178 0.00331 0.00949 0.024 0.0238 0.00483 0.00905 0.0236 0.000384 0.0071 0.919 0.919 2457098.34 2459486.07
211064526 0.00313 0.000688 0.000178 0.000295 0.0059 0.00131 0.00877 0.00239 0.00324 0.00103 0.00265 0.00592 0.0197 0.0337 0.00549 0.00445 0.000119 0.0032 9.11 7.08 2457098.34 2459486.07
211097941 0.00475 0.00153 0.000325 0.003 0.0111 0.00423 0.00177 0.0048 0.00391 0.0014 0.00513 0.0138 0.00811 0.00258 0.00641 0.0184 0.000315 0.00561 0.61 0.609 2457098.34 2459486.07
210967650 0.00196 0.000892 0.000147 0.000105 0.00277 0.000593 0.00245 0.000761 0.00228 0.00092 0.000654 0.00122 0.00222 0.000923 0.000462 0.000647 2.68e-05 0.000818 3.98 4.36 2457098.34 2459486.07
211121141 0.00919 0.00427 0.000691 0.00042 0.0123 0.00449 0.00991 0.00282 0.0168 0.00737 0.00379 0.0038 0.0228 0.0214 0.00985 0.0037 8.88e-05 0.00238 5.67 5.62 2457098.35 2459486.07
211059325 0.00894 0.00324 0.00298 0.00171 0.0116 0.00306 0.000919 0.00033 0.00533 0.00126 0.000674 0.00116 0.00568 0.00126 0.000604 0.000653 2.77e-05 0.00076 2.47 2.4 2457098.34 2459486.07
