k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
210558541 0.0116 0.00253 0.000949 0.00286 0.0257 0.011 0.00345 0.0069 0.0186 0.00231 0.00245 0.00314 0.0188 0.00543 0.00195 0.00198 9.22e-05 0.00188 0.904 0.905 2457861.32 2459499.31
210721261 0.0606 0.0124 0.0112 0.00839 0.0697 0.0115 0.0144 0.0073 0.0177 0.00289 0.00255 0.00206 0.0185 0.00333 0.00305 0.00195 6.38e-05 0.00132 1.54 1.54 2457861.32 2459499.31
210491860 0.00386 0.000779 0.000229 0.000138 0.00502 0.00177 0.00778 0.00206 0.00238 0.000442 0.0011 0.0015 0.00799 0.00476 0.00205 0.000809 4.3e-05 0.00103 15.4 18.2 2457861.32 2458981.22
247589423 0.00323 0.000933 0.000215 7.34e-05 0.00322 0.00093 0.000541 0.000166 0.00385 nan 0.000625 0.00112 0.00395 0.00046 0.00144 0.00074 3.03e-05 0.000804 15 13.4 2457861.32 2459512.32
210596446 0.00708 0.00144 0.00101 0.000651 0.00715 0.0011 0.00846 0.00235 0.00432 0.001 0.00139 0.00174 0.0216 0.0241 0.00616 0.00105 5.21e-05 0.00119 14.3 17.2 2457861.32 2459499.31
246707008 0.011 0.00305 0.00157 0.00292 0.122 0.0729 0.0634 0.0281 0.00736 0.0038 0.00412 0.0128 0.011 0.00301 0.00306 0.0078 0.000285 0.00482 1.2 1.2 2457861.32 2458981.22
247862511 0.0247 0.00173 0.00128 0.00112 0.0269 0.00144 0.0108 0.00353 0.00724 0.00206 0.0045 0.00993 0.0628 0.0783 0.018 0.00753 0.000197 0.00449 6.61 6.2 2457861.32 2459499.31
246863569 0.00323 0.00115 0.00171 0.000398 0.0592 0.0306 0.104 0.021 0.00753 0.00228 0.00307 0.004 0.017 0.00158 0.00686 0.00389 0.000137 0.00142 17.7 14.7 2457861.32 2459499.31
247019334 0.0253 0.00298 0.0052 0.00415 0.0569 0.0211 0.0475 0.0202 0.0104 0.00212 0.00324 0.00639 0.0128 0.00779 0.00355 0.0045 0.000157 0.0033 1.69 1.7 2457861.32 2459499.31
247139505 0.0303 0.00129 0.00287 0.0013 0.0312 0.00689 0.0374 0.00759 0.00952 0.00392 0.00402 0.00468 0.0376 0.0313 0.0071 0.00284 0.000127 0.00269 18.2 17.7 2457861.32 2459499.31
247899959 0.00544 0.00384 0.0037 0.00195 0.025 0.00666 0.0543 0.0118 0.000813 0.000149 0.00916 0.0122 0.00402 0.00125 0.00978 0.00997 0.000278 0.00546 24 18.2 2457861.32 2459499.31
246900928 0.0112 0.00184 0.000474 0.000143 0.0112 0.00195 0.000657 0.000148 0.00364 0.00111 0.000582 0.000536 0.00382 0.00116 0.00058 0.000251 1.4e-05 0.000386 9.86 10.4 2457861.32 2459499.31
247110096 0.0369 0.00464 0.00505 0.00341 0.0446 0.011 0.0399 0.00905 0.0229 0.00252 0.00334 0.00447 0.0295 0.00322 0.0046 0.00362 0.000141 0.00243 4.74 4.74 2457861.32 2459499.31
247069684 0.0161 0.00317 0.00274 0.00302 0.0493 0.0212 0.0246 0.0124 0.0106 0.00105 0.00395 0.0114 0.0103 0.00195 0.00325 0.00682 0.000228 0.00463 1.46 1.46 2457861.32 2459499.31
246911984 0.00571 0.000415 0.000829 0.000607 0.0181 0.00521 0.0211 0.0057 0.00135 nan 0.00209 0.00476 0.0645 nan 0.0105 0.00268 0.000126 0.00259 28.6 28.6 2457861.32 2459499.31
246808055 0.00871 0.00255 0.000341 0.00011 0.0088 0.00263 0.00114 0.000213 0.0052 0.00217 0.000585 0.000612 0.00614 0.00266 0.000764 0.000361 1.56e-05 0.000435 9.11 9.11 2457861.32 2458981.22
247864824 0.000992 0.000466 0.000111 0.000241 0.00336 0.00122 0.00812 0.00237 0.00237 0.00089 0.00185 0.00437 0.00139 0.00108 0.000786 0.0024 0.000108 0.00242 14 15 2457861.32 2459499.31
247094343 0.00849 0.000243 0.000327 0.00017 0.00905 0.000221 0.00417 0.00109 0.00257 1.74e-05 0.000996 0.00204 0.0363 0.0327 0.00754 0.00144 6.05e-05 0.00141 21.4 17.7 2457861.32 2459499.31
247813004 0.00393 0.000949 0.000667 0.00209 0.0225 0.0076 0.0199 0.0096 0.00483 0.00118 0.006 0.0154 0.00716 0.00219 0.00621 0.0141 0.000314 0.00588 1.71 1.72 2457861.32 2459499.31
247318877 0.0171 0.001 0.00119 0.000895 0.0181 0.00168 0.00473 0.00156 0.00647 0.00106 0.00263 0.00535 0.00615 0.0013 0.00306 0.00419 0.000138 0.00309 12 12.3 2457861.32 2459499.31
246807491 0.00426 0.00113 0.000508 0.0015 0.0439 0.013 0.0307 0.0162 0.00599 0.00126 0.00265 0.00732 0.0355 0.0804 0.00868 0.00569 0.000175 0.00351 1.52 2.29 2457861.32 2458981.22
247441866 0.0038 0.00162 0.00161 0.00113 0.00907 0.00302 0.0226 0.00562 0.000759 1.89e-05 0.005 0.0106 0.00277 0.00158 0.00474 0.00812 0.000229 0.00451 18.2 21.4 2457861.32 2459499.31
247153621 0.00916 0.00423 0.000306 0.00284 0.01 0.00473 3.23e-18 0.00175 0.012 0.00151 0.00151 0.00285 0.0125 0.00537 0.00092 0.00184 8.05e-05 0.00176 0.458 0.458 2457861.32 2459499.31
247164626 0.00694 0.000335 0.000627 0.000259 0.00788 0.00176 0.00361 0.00101 0.00226 0.000544 0.0015 0.00238 0.00248 0.000856 0.00137 0.0016 6.95e-05 0.00151 22.2 20.7 2457861.32 2459499.31
247032724 0.0149 0.00314 0.000791 0.00327 0.0454 0.0212 0.00755 0.0111 0.0123 0.00171 0.00809 0.0251 0.0129 0.00674 0.00536 0.017 0.000377 0.0077 0.799 0.799 2457861.32 2459499.31
246996958 0.0147 0.000549 0.00273 0.00115 0.0185 0.00345 0.0206 0.00422 0.00337 0.000467 0.00231 0.00446 0.0276 0.025 0.0101 0.00356 0.000121 0.00254 12.3 11.1 2457861.32 2459499.31
247185579 0.0029 0.00057 0.000495 0.000332 0.00779 0.00377 0.00611 0.00134 0.00308 0.000641 0.00195 0.00448 0.00925 0.00962 0.00266 0.00278 0.000124 0.00256 16.7 14.7 2457861.32 2459499.31
247649755 0.0145 0.000568 0.00149 0.000835 0.0151 0.00178 0.00805 0.00224 0.00402 0.000176 0.00211 0.00464 0.0617 0.06 0.0223 0.00539 0.000123 0.00285 21.4 12.5 2457861.32 2459499.31
247306074 0.00725 0.00127 0.000856 0.000494 0.00829 0.00142 0.00584 0.00148 0.00321 0.000902 0.00232 0.00485 0.0126 0.00986 0.00351 0.0033 0.000123 0.00273 10.5 9.86 2457861.32 2459499.31
247783757 0.0135 0.00263 0.00361 0.00257 0.0192 0.00431 0.00608 0.00294 0.00813 0.000599 0.00165 0.00304 0.00743 0.000546 0.00102 0.00164 8.21e-05 0.00184 1.82 1.83 2457861.32 2459499.31
247013709 0.0274 0.000534 0.00433 0.00198 0.0333 0.00819 0.0438 0.011 0.00466 0.000547 0.00438 0.00822 0.034 0.0314 0.00994 0.0051 0.000182 0.00405 24 21.4 2457861.32 2459499.31
246971978 0.00116 0.000974 0.000413 0.000543 0.0218 0.0106 0.0499 0.01 0.00317 0.00018 0.00323 0.00944 0.0204 0.0253 0.00526 0.0057 0.000185 0.00455 9.54 12.5 2457861.32 2459499.31
246953721 0.0082 0.00249 0.00143 0.00228 0.0773 0.0429 0.0509 0.0197 0.00422 0.00138 0.00393 0.0118 nan nan nan nan 0.000287 0.00421 2.13 2.12 2457861.32 2459499.31
246884081 0.0199 0.0112 0.016 0.00476 0.0295 0.0154 0.0492 0.0115 0.00385 0.000612 0.0051 0.00899 8.17 7.84 2.31 0.144 0.000252 0.00451 23.1 21.4 2457861.32 2459499.31
247337843 0.000207 7.51e-05 5.91e-05 4.02e-05 0.00686 0.00353 0.000628 0.000112 0.00498 0.00217 0.000576 0.000626 0.00533 0.00208 0.000599 0.000304 1.62e-05 0.000436 10.5 9.7 2457861.32 2459499.31
247744104 0.00441 0.000648 0.000124 7.46e-05 0.00438 0.000597 0.000453 0.000145 0.00136 0.000412 0.000725 0.00148 0.000947 0.000189 0.000522 0.00076 4.17e-05 0.00101 16.2 14 2457861.32 2459499.31
