k2id ampk2 erk2 redk2 wnk2 ampk2sp erk2sp redk2sp wnk2sp amptess ertess redtess wntess amptqlp ertqlp redtqlp wntqlp shotk2 shottess pbest pbest_tqlp k2time tesstime
212092636 0.00519 0.00327 0.00294 0.00234 0.0636 0.0641 0.11 0.0189 0.00842 0.00217 0.0217 0.0534 nan nan nan nan 0.000559 0.0107 20.7 13.4 2457721.47 2459539.45
211938817 0.00509 0.00179 0.00104 0.00634 0.0776 0.0635 0.0132 0.0286 0.0169 0.0125 0.0392 0.107 nan nan nan nan 0.00109 0.0144 0.464 1.08 2457721.47 2459539.45
212008710 0.00401 0.000608 0.000329 0.000201 0.0155 0.0124 0.0264 0.00456 0.00849 0.0068 0.00408 0.0058 0.0189 0.0175 0.00803 0.00363 0.000105 0.00298 24 15 2457721.47 2459539.45
211889983 0.00195 0.000814 0.000103 9.82e-05 0.00383 0.00162 0.00412 0.000976 0.00424 0.00153 0.00143 0.00326 0.00808 0.0045 0.00263 0.00205 6.51e-05 0.00196 5.01 4.33 2457721.47 2459539.45
211927174 0.031 0.0175 0.0123 0.00633 0.0238 0.00623 0.0208 0.00693 0.0086 0.00291 0.0227 0.0662 nan nan nan nan 0.000776 0.0127 6.47 7.42 2457721.47 2459539.45
211951223 0.0172 0.00917 0.00217 0.00697 0.14 0.0781 0.0726 0.0355 0.0135 0.00417 0.0338 0.0977 nan nan nan nan 0.00122 0.0151 1.52 1.52 2457721.47 2459539.45
211959273 0.00475 0.00204 0.000191 0.000168 0.0066 0.00228 0.00832 0.00191 0.00286 0.00077 0.00267 0.00523 0.021 0.0155 0.0111 0.00397 9.77e-05 0.00283 14.7 16.7 2457721.47 2459539.45
212083165 0.0134 0.00654 0.0133 0.00443 0.032 0.0227 0.101 0.023 0.00892 0.00172 0.0242 0.0719 nan nan nan nan 0.000731 0.0143 16.2 16.2 2457721.47 2459539.45
211997380 0.00524 0.00128 0.000174 7.07e-05 0.00534 0.00136 0.00107 0.000214 0.00287 0.000561 0.0006 0.00156 0.00347 0.00131 0.000684 0.000874 3.46e-05 0.00107 8.13 8.35 2457721.47 2459539.45
211985566 0.0182 0.00134 0.000941 0.000594 0.0441 0.0272 0.0806 0.0146 0.00704 0.00246 0.00539 0.0144 0.0336 0.031 0.0108 0.0118 0.000238 0.00554 17.7 12 2457721.47 2459539.45
211995288 0.00779 0.00187 0.000496 0.000139 0.00772 0.00162 0.00114 0.000291 0.00746 0.00097 0.000892 0.00167 0.0132 0.00978 0.0021 0.00116 3.63e-05 0.00114 7.81 8.02 2457721.47 2459539.45
211980574 0.0139 0.00518 0.00273 0.00129 0.0182 0.00154 0.04 0.00766 0.0081 0.00105 0.0043 0.00702 0.339 nan 0.161 0.0855 0.000362 0.0028 24 28.6 2457721.47 2459539.45
211999969 0.00817 0.00507 0.00097 0.0011 0.0188 0.0077 0.0347 0.00839 0.00639 0.00227 0.00868 0.022 0.0351 0.026 0.0118 0.0168 0.000319 0.00687 22.2 20.7 2457721.47 2459539.45
211985987 0.00171 0.000793 0.000376 0.000432 0.0215 0.0171 0.0446 0.0091 0.00569 0.00385 0.00536 0.0144 0.0826 0.0772 0.0195 0.012 0.00022 0.00625 15 6.2 2457721.47 2459539.45
211987847 0.00884 0.0024 0.000602 0.00264 0.0156 0.00654 0.00197 0.00425 0.00519 0.0019 0.00479 0.0141 0.0123 0.00298 0.00982 0.0248 0.000367 0.00537 0.838 0.838 2457721.47 2459539.45
212009944 0.0075 0.00175 0.00129 0.000555 0.0144 0.00567 0.0226 0.00452 0.00334 0.00104 0.00389 0.0107 0.024 0.017 0.00641 0.00755 0.000186 0.00484 19.4 16.2 2457721.47 2459539.45
211968228 0.00746 0.00314 0.000843 0.000641 0.0176 0.00985 0.034 0.0088 0.0102 0.00365 0.00712 0.0146 0.259 0.141 0.0603 0.0163 0.000242 0.00583 20 15 2457721.47 2459539.45
211992843 0.00796 0.00216 0.000696 0.000574 0.0342 0.0247 0.0712 0.0131 0.00502 0.00152 0.00455 0.00926 0.14 0.122 0.0387 0.0139 0.000252 0.00441 18.8 21.4 2457721.47 2459539.45
211959857 0.00569 0.00206 0.000425 0.000502 0.075 0.0869 0.156 0.029 0.00407 0.00224 0.00449 0.0113 0.11 0.079 0.027 0.0125 0.000227 0.00483 18.8 15.8 2457721.47 2459539.45
211983725 0.0136 0.0052 0.00176 0.00176 0.0286 0.0129 0.0131 0.00571 0.0258 0.0046 0.00473 0.0106 0.0403 0.0278 0.00152 0.00915 0.000189 0.00449 2.08 2.08 2457721.47 2459539.45
211989299 0.00634 0.00462 0.000753 0.00105 0.0189 0.00849 0.034 0.00684 0.00698 0.00332 0.0045 0.012 0.0859 0.0373 0.0208 0.0376 0.000376 0.00542 11.6 9.54 2457721.47 2459539.45
211972478 0.00731 0.00175 0.000496 0.000378 0.0146 0.00958 0.0288 0.00677 0.00467 0.00145 0.0045 0.00967 0.042 0.0236 0.0103 0.0082 0.000171 0.0041 16.2 16.2 2457721.47 2459539.45
211978157 0.00496 0.00396 0.00219 0.000772 0.0631 0.0594 0.115 0.0173 0.00342 0.00131 0.00865 0.0148 nan nan nan nan 0.000407 0.00565 21.4 21.4 2457721.47 2459539.45
211943613 0.00371 0.00168 0.00034 0.000426 0.0124 0.00513 0.0256 0.00459 0.00374 0.00104 0.00418 0.0125 0.411 0.47 0.0815 0.0165 0.000212 0.0054 16.2 6.68 2457721.47 2459539.45
211978879 0.00622 0.00221 0.00056 0.000625 0.0369 0.0254 0.0746 0.0142 0.00608 0.000529 0.0065 0.0181 0.146 0.107 0.0331 0.0151 0.00029 0.00628 19.4 16.2 2457721.47 2459539.45
212005017 0.00217 0.000582 0.000242 0.000292 0.0341 0.0291 0.0672 0.0121 0.0031 0.000859 0.00388 0.00973 0.00542 0.00196 0.00252 0.00649 0.000168 0.00431 16.2 13.4 2457721.47 2459539.45
211971189 0.00658 0.00135 0.000527 0.000702 0.0175 0.0117 0.0347 0.00785 0.00521 0.00049 0.00507 0.0081 0.19 nan 0.0584 0.0214 0.000285 0.00326 22.2 27.3 2457721.47 2459539.45
212014467 0.0232 0.00132 0.00287 0.00183 0.0644 0.0239 0.079 0.0142 0.00633 0.000562 0.0123 0.0313 nan nan nan nan 0.00056 0.00848 21.4 20.7 2457721.47 2459539.45
211968029 0.0127 0.00239 0.00105 0.000721 0.0211 0.00948 0.0329 0.00636 0.00563 0.000504 0.00548 0.016 0.0421 0.0297 0.0166 0.0125 0.000248 0.00614 17.2 15.8 2457721.47 2459539.45
211989807 0.00433 0.000797 0.000771 0.00164 0.028 0.0135 0.0479 0.00865 0.00225 0.000646 0.0155 0.0451 nan nan nan nan 0.000497 0.0106 13.7 15.8 2457177.48 2459539.45
211985346 0.011 0.00198 0.00124 0.00153 0.0158 0.00483 0.0182 0.00508 0.00815 0.0024 0.00715 0.0176 nan nan nan nan 0.000424 0.00666 8.97 9.25 2457721.47 2459539.45
211975682 0.00253 0.0014 0.000473 0.000396 0.0165 0.00674 0.0278 0.00593 0.00302 0.00154 0.00349 0.00809 0.0197 0.0029 0.0133 0.00713 0.000185 0.00397 20.7 22.2 2457721.47 2459539.45
211957804 0.0112 0.00362 0.00203 0.00181 0.0145 0.00539 0.0241 0.0059 0.00543 0.00119 0.00676 0.0156 nan nan nan nan 0.000632 0.00559 22.2 18.8 2457721.47 2459539.45
212023280 0.00879 0.00109 0.000429 0.000315 0.0154 0.00892 0.026 0.0048 0.0132 0.00643 0.00567 0.0083 0.0319 0.0317 0.00881 0.00556 0.000149 0.00396 15 20.7 2457721.47 2459539.45
211977843 0.00861 0.00337 0.00163 0.00171 0.0355 0.0359 0.0711 0.0146 0.00851 0.00138 0.0132 0.0377 nan nan nan nan 0.000418 0.00949 9.25 9.25 2457721.47 2459539.45
211988997 0.0074 0.00115 0.00142 0.00125 0.00941 0.00239 0.0123 0.00299 0.00869 0.00148 0.00762 0.0218 0.017 0.00657 0.00748 0.0163 0.000319 0.00755 20 13.4 2457721.47 2459539.45
211980039 0.0118 0.00335 0.00127 0.00114 0.0302 0.0265 0.0704 0.0107 0.0109 0.00281 0.00717 0.018 0.0618 0.0244 0.0276 0.035 0.000366 0.00754 16.7 12.3 2457721.47 2459539.45
211975510 0.00723 0.00135 0.000493 0.000228 0.00844 0.0019 0.00854 0.00187 0.00738 0.00228 0.00268 0.00429 0.124 0.0843 0.0375 0.0252 0.000107 0.00167 11.8 10.7 2457721.47 2459539.45
211975510 0.00723 0.00135 0.000493 0.000228 0.00844 0.0019 0.00854 0.00187 0.00738 0.00228 0.00268 0.00429 0.124 0.0843 0.0375 0.0252 0.000107 0.00167 11.8 10.7 2457721.47 2459539.45
